Codename,Name,Abbreviation,Type,Category,URL,Game,UseMaster,UseAssets,Release,Version,Stability,Size,Author,Readme
AC-Miscellaneous-Tweaks,AC's Miscellaneous Tweaks,ACMT,compilation,GFX,https://github.com/Spellhold-Studios/AC-Miscellaneous-Tweaks,BG1-BG2,,,2024-02-02,v1.25,,48009673,Andrea C ,https://spellhold-studios.github.io/readmes/ac-miscellaneous-tweaks/readme.txt
A7-MiscTweaks,Argent's Miscellaneous Tweaks,A77MT,compilation,TWEAKS,https://github.com/Argent77/A7-MiscTweaks,PST,,,2026-07-19,v1.2,,13883938,Argent77,-
Almateria-Restoration-Project,Almateria's Restoration Project,ARP,compilation,RESTORATION,https://github.com/Spellhold-Studios/Almateria-Restoration-Project,BG2,,,2024-12-03,v10.1,,1830679,Almateria,https://spellhold-studios.github.io/readmes/almateria-restoration-project/readme-arp-english.html
Ascalons_Questpack,Ascalon's Questpack,Ascalon's Questpack,compilation,QUEST,https://github.com/Gitjas/Ascalons_Questpack,BG1,,,2026-07-25,v7.0,,26963241,Ascalon,-
Ascension,Ascension,,major,RESTRUCTURE,https://github.com/Gibberlings3/Ascension,BG2,,,2025-05-18,2.1.0,,12461623,DavidW ,https://gibberlings3.github.io/Documentation/readmes/readme-ascension.html
aTweaks,aTweaks,aTweaks,compilation,TWEAKS,https://github.com/FredrikLindgren/aTweaks,BG1-BG2-IWD,,,2018-05-19,07d7bad,,14619253,FredrikLindgren,https://avenger981.github.io/doc/readme_atweaks.html
baldurian-bar-hop,Baldurian Bar Hop,,compilation,QUEST,https://github.com/bucketfulofsunshine/baldurian-bar-hop,BG1,,,2026-07-20,V0.91,beta,7819266,bucketfulofsunshine,-
Bardic-Wonders,Bardic Wonders,,minor,MECHANICS,https://github.com/TheArtisanBG/Bardic-Wonders,BG1-BG2-IWD,1,,2026-05-31,4e72d97,,32833478,TheArtisan,https://theartisanbg.github.io/The-Artisans-Corner/bardic-wonders
BG1NPC,The BG1 NPC Project,,major,NPC-EXPANSION,https://github.com/Gibberlings3/BG1NPC,BG1,,,2023-08-02,v32,,55257230,Multiple ,https://gibberlings3.github.io/Documentation/readmes/bg1npcreadme.html
BG1_Romantic_Encounters,BG1 Romantic Encounters,BG1RE,compilation,QUEST,https://github.com/Gibberlings3/BG1_Romantic_Encounters,BG1,,,2026-07-24,v16,,14272159,Multiple ,https://gibberlings3.github.io/Documentation/readmes/bg1re.readme.english.txt
bg1ub,BG1 Unfinished Business,BG1UB,compilation,RESTORATION,https://github.com/Pocket-Plane-Group/bg1ub,BG1,,,2025-08-25,v17.1,,20553358,Multiple ,https://htmlpreview.github.io/?https://github.com/Pocket-Plane-Group/bg1ub/blob/master/bg1ub/readme.bg1ub.english.html
BGEE-Graphics-Enhanced,BGEE Graphics Enhanced,,major,GFX,https://github.com/TheForgotten69/BGEE-Graphics-Enhanced,BG1,,,2025-09-29,v0.2.0,alpha,1871378741,TheForgotten69,-
Baldurs-Gate-Graphical-Overhaul,Baldur's Gate Graphical Overhaul,,major,GFX,https://github.com/Spellhold-Studios/Baldurs-Gate-Graphical-Overhaul,BG1-BG2,,,2026-03-21,v3.6,,1554582660,"Yovaneth, White Agnus, Weigo",https://htmlpreview.github.io/?https://raw.githubusercontent.com/Spellhold-Studios/Baldurs-Gate-Graphical-Overhaul/master/bggo/readme/README.html
BG_Quests_And_Encounters,Baldur's Gate Mini Quests and Encounters,,compilation,QUEST,https://github.com/Gibberlings3/BG_Quests_And_Encounters,BG1,,,2026-01-17,v31,,6187315,jastey,https://gibberlings3.github.io/Documentation/readmes/english.bgqe.txt
BS_Baldurans_Seatower,Balduran's Seatower,,major,QUEST,https://github.com/Gibberlings3/BS_Baldurans_Seatower,BG1,,,2023-12-08,vEAOB.9,,163581861,Multiple ,https://gibberlings3.github.io/Documentation/readmes/english.bst.txt
Combat_Skill_Proficiencies,Combat Skill Proficiencies,Combat Skill Proficiencies,compilation,MECHANICS,https://github.com/subtledoctor/Combat_Skill_Proficiencies,BG1-BG2-IWD,,,2025-09-20,1.5.2,,2942601,subtledoctor,-
Dax-Tweaks,Dax Tweaks,Dax Tweaks,compilation,TWEAKS,https://github.com/Maltodaxtrin/Dax-Tweaks,BG1-BG2-IWD,,,2026-07-27,1.0.2,,9660534,Daxtreme ,-
Deities-Of-Faerun,Deities of Faerûn,DoF,major,MECHANICS,https://github.com/Raduziel/Deities-Of-Faerun,BG1-BG2-IWD,,,2026-05-04,2.0,,50389280,Raduziel,-
EE_Fixpack,EE Fixpack,EE Fixpack,major,FIX,https://github.com/Gibberlings3/EE_Fixpack,BG1-BG2-IWD-PST,1,,2026-07-20,e422b3f,beta,139376523,Multiple ,https://gibberlings3.github.io/Documentation/readmes/readme-eefixpack.html
ExtraExpandedEnhancedEncounters,Extra Expanded Enhanced Encounters,EEEE,compilation,QUEST,https://github.com/GraionDilach/ExtraExpandedEnhancedEncounters,BG1,,,2026-05-21,4.4,,302238,GraionDilach,-
EEex,EEex,EEex,major,BASE,https://github.com/Bubb13/EEex,BG1-BG2-IWD,,,2026-07-31,v1.1.6,,110015180,Bubb,-
EET,Enhanced Edition Trilogy,EET,major,BASE,https://github.com/Gibberlings3/EET,BG1-BG2,,,2025-04-07,v14.1,,242152031,K4thos,https://gibberlings3.github.io/Documentation/readmes/readme-EET.html
EET_Tweaks,EET Tweaks,EET Tweaks,compilation,TWEAKS,https://github.com/K4thos/EET_Tweaks,BG1-BG2,,,2019-08-01,v1.12,,19498391,K4thos,https://github.com/K4thos/EET_Tweaks/blob/master/EET_Tweaks/readme-EET_Tweaks.html
EndlessBG1,Endless BG1,EndlessBG1,major,RESTRUCTURE,https://github.com/Gibberlings3/EndlessBG1,BG1,,,2026-01-27,v20.2,,3481367,jastey,https://gibberlings3.github.io/Documentation/readmes/readme.c%23endlessbg1.english.txt
forgotten-armament,Forgotten Armament,Forgotten Armament,compilation,ITEMS,https://www.morpheus-mart.com/forgotten-armament,BG1-BG2-IWD,,,2026-03-15,6.0,,1636005,Morpheus562,-
